gus.buptnet.edu.cn                bupt.edu.cn
dns.hncj.edu.cn                   hncj.edu.cn
dns2.ncwu.edu.cn                  ncwu.edu.cn
dns.pdsu.edu.cn                   pdsu.edu.cn
dns.pzxy.edu.cn                   pzxy.edu.cn
dns2.pdsu.edu.cn                  pdsu.edu.cn
dns.xytc.edu.cn                   xytc.edu.cn
dns.zknu.edu.cn                   zknu.edu.cn
dns.xxmu.edu.cn                   xxmu.edu.cn
dns2.xcu.edu.cn                   xcu.edu.cn
dns2.lynu.edu.cn                  lynu.edu.cn
dns.sqnc.edu.cn                   sqnc.edu.cn
DNS2.nyist.edu.cn                 nyist.edu.cn
dns.nyist.edu.cn                  nyist.edu.cn
DNS1.xxu.edu.cn                   xxu.edu.cn
dns.xyac.edu.cn                   xyac.edu.cn
dns.sqyx.edu.cn                   sqyx.edu.cn
dns.hist.edu.cn                   hist.edu.cn
dns2.sqyx.edu.cn                  sqyx.edu.cn
dns.sqyx.edu.cn                   sqyx.edu.cn
dns2.sqyx.edu.cn                  sqyx.edu.cn
SUN20.zzti.edu.cn                 zzti.edu.cn
dns.sqmc.edu.cn                   sqmc.edu.cn
dns.lhmc.edu.cn                   lhmc.edu.cn
dns.hncc.edu.cn                   hncc.edu.cn
sunsvr.gdrtvu.edu.cn              gdrtvu.edu.cn
dns1.gdou.edu.cn                  gdou.edu.cn
proxy.jyu.edu.cn                  jyu.edu.cn
dns.gdcc.edu.cn                   gdcc.edu.cn
public.gdpa.edu.cn                gdpa.edu.cn
lychee.dgut.edu.cn                dgut.edu.cn
mango.dgut.edu.cn                 dgut.edu.cn
dns.gduf.edu.cn                   gduf.edu.cn
dns2.nhic.edu.cn                  nhic.edu.cn
dns.nhic.edu.cn                   nhic.edu.cn
dns2.gcp.edu.cn                   gcp.edu.cn
dns1.gcp.edu.cn                   gcp.edu.cn
dns1.lnc.edu.cn                   lnc.edu.cn
dns2.lnc.edu.cn                   lnc.edu.cn
star.glite.edu.cn                 glite.edu.cn
jupiter.glcat.edu.cn              glcat.edu.cn
alpha2.glnc.edu.cn                glnc.edu.cn
alpha1.glnc.edu.cn                glnc.edu.cn
dns1.gxqzu.edu.cn                 gxqzu.edu.cn
dns.hainu.edu.cn                  hainu.edu.cn
dns1.hkc.edu.cn                   hkc.edu.cn
dns1.ctbu.edu.cn                  ctbu.edu.cn
dns2.sicnu.edu.cn                 sicnu.edu.cn
secdns.scu.edu.cn                 scu.edu.cn
dns1.swust.edu.cn                 swust.edu.cn
cdnet52.uestc.edu.cn              uestc.edu.cn
DNS.uestc.edu.cn                  uestc.edu.cn
SECDNS.swjtu.edu.cn               swjtu.edu.cn
ns.nsmc.edu.cn                    nsmc.edu.cn
dns.njtc.edu.cn                   njtc.edu.cn
DNS.shic.edu.cn                   shic.edu.cn
dns1.xcc.edu.cn                   xcc.edu.cn
dns2.scetc.edu.cn                 scetc.edu.cn
lt.glnc.edu.cn                    glnc.edu.cn
dns1.lzy.edu.cn                   lzy.edu.cn
dns.zmc.edu.cn                    zmc.edu.cn
dns.sgmtu.edu.cn                  sgmtu.edu.cn
king.ynni.edu.cn                  ynni.edu.cn
DNS.kmu.edu.cn                    kmu.edu.cn
DNS2.kmu.edu.cn                   kmu.edu.cn
ns2.xidian.edu.cn                 xidian.edu.cn
