
; <<>> DiG 9.9.5-W1 <<>> @dns1.ctbu.edu.cn axfr ctbu.edu.cn
; (1 server found)
;; global options: +cmd
sxjr.ctbu.edu.cn.	10800	IN	A	211.83.206.3
sygl.ctbu.edu.cn.	10800	IN	A	211.83.206.59
symantec.ctbu.edu.cn.	10800	IN	A	211.83.192.1
syzx.ctbu.edu.cn.	10800	IN	A	211.83.206.10
sztz.ctbu.edu.cn.	10800	IN	A	211.83.206.224
szxy.ctbu.edu.cn.	10800	IN	A	211.83.206.50
t.ctbu.edu.cn.		10800	IN	A	211.83.206.3
teacher.ctbu.edu.cn.	10800	IN	A	211.83.206.10
tepo.ctbu.edu.cn.	10800	IN	A	211.83.206.3
tepodev.ctbu.edu.cn.	10800	IN	A	211.83.206.50
test.ctbu.edu.cn.	10800	IN	A	211.83.192.7
test1.ctbu.edu.cn.	10800	IN	A	211.83.206.3
test2.ctbu.edu.cn.	10800	IN	A	211.83.206.3
tourism.ctbu.edu.cn.	10800	IN	A	211.83.206.10
traffic.ctbu.edu.cn.	10800	IN	A	211.83.192.5
ts.ctbu.edu.cn.		10800	IN	A	211.83.206.50
tsdev.ctbu.edu.cn.	10800	IN	A	211.83.206.216
tsxy.ctbu.edu.cn.	10800	IN	A	211.83.206.3
tuo.ctbu.edu.cn.	10800	IN	A	211.83.206.50
tv.ctbu.edu.cn.		10800	IN	A	211.83.206.3
tvold.ctbu.edu.cn.	10800	IN	A	211.83.206.215
tw.ctbu.edu.cn.		10800	IN	A	211.83.206.3
ufw.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
vdesktopdcc.ctbu.edu.cn. 10800	IN	A	211.83.206.105
vdesktopdmc.ctbu.edu.cn. 10800	IN	A	211.83.206.104
vdesktopxp.ctbu.edu.cn.	10800	IN	A	211.83.206.106
vdp.ctbu.edu.cn.	10800	IN	A	10.40.0.11
video.ctbu.edu.cn.	10800	IN	A	211.83.206.34
vm131.ctbu.edu.cn.	10800	IN	A	211.83.206.131
vm40.ctbu.edu.cn.	10800	IN	A	211.83.206.40
vod.ctbu.edu.cn.	10800	IN	A	211.83.206.160
vodweb.ctbu.edu.cn.	10800	IN	CNAME	video.ctbu.edu.cn.
vote.ctbu.edu.cn.	10800	IN	A	211.83.206.28
vpn.ctbu.edu.cn.	10800	IN	A	183.64.61.200
vpndx.ctbu.edu.cn.	10800	IN	A	183.64.61.200
vpnjy.ctbu.edu.cn.	10800	IN	A	211.83.192.60
vpnlt.ctbu.edu.cn.	10800	IN	A	113.204.55.30
vpnyd.ctbu.edu.cn.	10800	IN	A	211.139.61.150
vrs.ctbu.edu.cn.	10800	IN	A	211.83.206.4
vtc.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
vtcdev.ctbu.edu.cn.	10800	IN	A	211.83.206.50
wcool.ctbu.edu.cn.	10800	IN	A	211.83.206.3
web.ctbu.edu.cn.	10800	IN	A	211.83.206.215
web2.ctbu.edu.cn.	10800	IN	A	211.83.206.16
webs.ctbu.edu.cn.	10800	IN	A	211.83.206.3
wenyuan.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
windowsupdate.ctbu.edu.cn. 10800 IN	A	211.83.192.12
wlog.ctbu.edu.cn.	10800	IN	A	211.83.206.224
wlsy.ctbu.edu.cn.	10800	IN	A	211.83.206.242
wmxs.ctbu.edu.cn.	10800	IN	A	211.83.206.3
wto.ctbu.edu.cn.	10800	IN	A	211.83.206.10
www.ctbu.edu.cn.	10800	IN	A	211.83.206.1
wwwtest.ctbu.edu.cn.	10800	IN	CNAME	www.ctbu.edu.cn.
wxtx.ctbu.edu.cn.	10800	IN	A	211.83.206.3
wyxy.ctbu.edu.cn.	10800	IN	A	211.83.206.216
