
; <<>> DiG 9.9.5-W1 <<>> @dns.njupt.edu.cn axfr njupt.edu.cn
; (1 server found)
;; global options: +cmd
xxb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xybst.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xygz.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xyh.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xykadmin.njupt.edu.cn.	86400	IN	A	10.22.199.242
xyzd.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
ygb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
yjs.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
yjsrep.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
youth.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
youthoa.njupt.edu.cn.	86400	IN	CNAME	youth.njupt.edu.cn.
yvf.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
yx.njupt.edu.cn.	86400	IN	CNAME	gcampus.njupt.edu.cn.
zbb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
zcgs.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
zlgc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
zs.njupt.edu.cn.	86400	IN	A	180.209.64.247
zsjyc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
zysb.njupt.edu.cn.	86400	IN	A	10.20.173.223
zzb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
njupt.edu.cn.		86400	IN	SOA	dns.njupt.edu.cn. root.dns.njupt.edu.cn. 1396874220 28800 14400 3600000 86400
;; Query time: 611 msec
;; SERVER: 202.119.230.8#53(202.119.230.8)
;; WHEN: Mon Apr 21 20:50:56 中国标准时间 2014
;; XFR size: 222 records (messages 1, bytes 4466)

